"export-plot data (NetLogo 5.2.0)"
"MANET.nlogo"
"05/28/2015 16:30:47:069 +0200"

"MODEL SETTINGS"
"run-length","all-different","max-degree","node-velocity","strategy","export-plots","radius","nodes-number"
"2000","true","15","5","""Max-degree-no-bridge-kill""","true","15","80"

"""Growth of connected component"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","2190","0","1","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","2000"

"""default"""
"x","y","color","pen down?"
"0","0.0125","0","true"
"1","0.8875","0","true"
"2","0.8125","0","true"
"3","0.8625","0","true"
"4","0.95","0","true"
"5","1","0","true"
"6","0.9625","0","true"
"7","0.9125","0","true"
"8","0.9625","0","true"
"9","0.8875","0","true"
"10","0.9125","0","true"
"11","0.9875","0","true"
"12","0.9125","0","true"
"13","0.9875","0","true"
"14","0.9125","0","true"
"15","0.9","0","true"
"16","0.9875","0","true"
"17","0.9125","0","true"
"18","0.9","0","true"
"19","0.9375","0","true"
"20","0.925","0","true"
"21","0.925","0","true"
"22","0.9375","0","true"
"23","0.9875","0","true"
"24","0.9875","0","true"
"25","0.925","0","true"
"26","0.975","0","true"
"27","0.95","0","true"
"28","0.825","0","true"
"29","0.8875","0","true"
"30","0.8875","0","true"
"31","0.95","0","true"
"32","0.9875","0","true"
"33","0.9","0","true"
"34","0.8875","0","true"
"35","1","0","true"
"36","0.975","0","true"
"37","1","0","true"
"38","0.9","0","true"
"39","0.9875","0","true"
"40","0.9875","0","true"
"41","0.9875","0","true"
"42","0.9875","0","true"
"43","0.975","0","true"
"44","1","0","true"
"45","0.975","0","true"
"46","1","0","true"
"47","1","0","true"
"48","1","0","true"
"49","1","0","true"
"50","0.95","0","true"
"51","0.95","0","true"
"52","1","0","true"
"53","0.95","0","true"
"54","1","0","true"
"55","1","0","true"
"56","1","0","true"
"57","0.9875","0","true"
"58","1","0","true"
"59","1","0","true"
"60","1","0","true"
"61","1","0","true"
"62","0.85","0","true"
"63","1","0","true"
"64","0.9625","0","true"
"65","0.9625","0","true"
"66","1","0","true"
"67","0.85","0","true"
"68","0.85","0","true"
"69","1","0","true"
"70","0.9375","0","true"
"71","1","0","true"
"72","0.925","0","true"
"73","0.9375","0","true"
"74","0.9875","0","true"
"75","0.9375","0","true"
"76","0.925","0","true"
"77","0.9875","0","true"
"78","0.9625","0","true"
"79","0.9375","0","true"
"80","0.95","0","true"
"81","0.9125","0","true"
"82","0.875","0","true"
"83","0.8125","0","true"
"84","0.75","0","true"
"85","0.925","0","true"
"86","0.975","0","true"
"87","0.975","0","true"
"88","0.975","0","true"
"89","0.975","0","true"
"90","0.9875","0","true"
"91","0.9375","0","true"
"92","0.9625","0","true"
"93","0.8875","0","true"
"94","0.65","0","true"
"95","0.975","0","true"
"96","0.9625","0","true"
"97","0.9625","0","true"
"98","0.9625","0","true"
"99","0.975","0","true"
"100","0.975","0","true"
"101","0.975","0","true"
"102","0.9625","0","true"
"103","0.975","0","true"
"104","0.975","0","true"
"105","0.9625","0","true"
"106","1","0","true"
"107","1","0","true"
"108","0.8125","0","true"
"109","0.9625","0","true"
"110","0.95","0","true"
"111","1","0","true"
"112","1","0","true"
"113","1","0","true"
"114","0.975","0","true"
"115","0.9375","0","true"
"116","0.875","0","true"
"117","0.9125","0","true"
"118","0.8875","0","true"
"119","0.775","0","true"
"120","1","0","true"
"121","0.9","0","true"
"122","0.9125","0","true"
"123","1","0","true"
"124","1","0","true"
"125","1","0","true"
"126","1","0","true"
"127","1","0","true"
"128","0.9875","0","true"
"129","0.975","0","true"
"130","1","0","true"
"131","1","0","true"
"132","1","0","true"
"133","1","0","true"
"134","0.95","0","true"
"135","1","0","true"
"136","1","0","true"
"137","1","0","true"
"138","1","0","true"
"139","1","0","true"
"140","1","0","true"
"141","1","0","true"
"142","0.9875","0","true"
"143","1","0","true"
"144","1","0","true"
"145","0.9375","0","true"
"146","0.9875","0","true"
"147","0.9875","0","true"
"148","0.975","0","true"
"149","0.9875","0","true"
"150","0.9875","0","true"
"151","0.9875","0","true"
"152","0.9875","0","true"
"153","0.925","0","true"
"154","1","0","true"
"155","0.925","0","true"
"156","1","0","true"
"157","1","0","true"
"158","1","0","true"
"159","1","0","true"
"160","1","0","true"
"161","0.975","0","true"
"162","0.925","0","true"
"163","1","0","true"
"164","1","0","true"
"165","0.9375","0","true"
"166","0.8625","0","true"
"167","0.9875","0","true"
"168","0.9875","0","true"
"169","0.9875","0","true"
"170","1","0","true"
"171","0.925","0","true"
"172","1","0","true"
"173","1","0","true"
"174","1","0","true"
"175","0.775","0","true"
"176","1","0","true"
"177","1","0","true"
"178","0.9625","0","true"
"179","0.975","0","true"
"180","0.925","0","true"
"181","0.975","0","true"
"182","1","0","true"
"183","0.975","0","true"
"184","0.875","0","true"
"185","0.9875","0","true"
"186","1","0","true"
"187","1","0","true"
"188","1","0","true"
"189","0.9875","0","true"
"190","0.9625","0","true"
"191","1","0","true"
"192","1","0","true"
"193","1","0","true"
"194","0.875","0","true"
"195","0.975","0","true"
"196","1","0","true"
"197","1","0","true"
"198","1","0","true"
"199","1","0","true"
"200","0.825","0","true"
"201","0.9125","0","true"
"202","0.625","0","true"
"203","0.925","0","true"
"204","0.9875","0","true"
"205","0.925","0","true"
"206","0.7625","0","true"
"207","1","0","true"
"208","1","0","true"
"209","0.9625","0","true"
"210","0.9875","0","true"
"211","1","0","true"
"212","0.9625","0","true"
"213","0.95","0","true"
"214","1","0","true"
"215","1","0","true"
"216","1","0","true"
"217","1","0","true"
"218","1","0","true"
"219","1","0","true"
"220","0.9875","0","true"
"221","0.9875","0","true"
"222","0.5875","0","true"
"223","0.5625","0","true"
"224","0.9","0","true"
"225","0.55","0","true"
"226","0.775","0","true"
"227","0.9125","0","true"
"228","0.6625","0","true"
"229","0.9125","0","true"
"230","0.9625","0","true"
"231","0.925","0","true"
"232","0.925","0","true"
"233","0.9125","0","true"
"234","0.875","0","true"
"235","1","0","true"
"236","0.975","0","true"
"237","0.9875","0","true"
"238","0.925","0","true"
"239","0.9625","0","true"
"240","1","0","true"
"241","0.9625","0","true"
"242","0.9625","0","true"
"243","0.925","0","true"
"244","1","0","true"
"245","0.9625","0","true"
"246","0.9875","0","true"
"247","0.975","0","true"
"248","0.975","0","true"
"249","0.975","0","true"
"250","0.9125","0","true"
"251","0.9375","0","true"
"252","0.9375","0","true"
"253","0.95","0","true"
"254","0.95","0","true"
"255","0.95","0","true"
