"export-plot data (NetLogo 5.2.0)"
"MANET.nlogo"
"05/28/2015 20:38:44:954 +0200"

"MODEL SETTINGS"
"radius","max-degree","nodes-number","node-velocity","all-different","run-length","strategy","export-plots"
"15","25","80","5","true","2000","""Most-distant-no-bridge-kill""","true"

"""Growth of connected component"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","2190","0","1","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","2000"

"""default"""
"x","y","color","pen down?"
"0","0.0125","0","true"
"1","1","0","true"
"2","1","0","true"
"3","0.85","0","true"
"4","0.85","0","true"
"5","0.85","0","true"
"6","1","0","true"
"7","0.9875","0","true"
"8","0.9875","0","true"
"9","0.975","0","true"
"10","1","0","true"
"11","0.9625","0","true"
"12","0.9875","0","true"
"13","0.9875","0","true"
"14","1","0","true"
"15","1","0","true"
"16","0.9625","0","true"
"17","1","0","true"
"18","1","0","true"
"19","1","0","true"
"20","1","0","true"
"21","1","0","true"
"22","1","0","true"
"23","1","0","true"
"24","1","0","true"
"25","0.975","0","true"
"26","1","0","true"
"27","0.95","0","true"
"28","0.975","0","true"
"29","0.85","0","true"
"30","0.925","0","true"
"31","0.9125","0","true"
"32","0.7625","0","true"
"33","1","0","true"
"34","1","0","true"
"35","1","0","true"
"36","1","0","true"
"37","0.9875","0","true"
"38","0.9875","0","true"
"39","0.9875","0","true"
"40","0.9875","0","true"
"41","0.9875","0","true"
"42","1","0","true"
"43","1","0","true"
"44","1","0","true"
"45","0.9375","0","true"
"46","0.9875","0","true"
"47","0.9875","0","true"
"48","0.9875","0","true"
"49","1","0","true"
"50","1","0","true"
"51","1","0","true"
"52","1","0","true"
"53","1","0","true"
"54","1","0","true"
"55","1","0","true"
"56","1","0","true"
"57","1","0","true"
"58","1","0","true"
"59","1","0","true"
"60","0.85","0","true"
"61","0.9875","0","true"
"62","1","0","true"
"63","0.9875","0","true"
"64","1","0","true"
"65","1","0","true"
"66","0.9125","0","true"
"67","1","0","true"
"68","1","0","true"
"69","1","0","true"
"70","0.9875","0","true"
"71","1","0","true"
"72","1","0","true"
"73","1","0","true"
"74","0.9","0","true"
"75","0.9125","0","true"
"76","0.8625","0","true"
"77","0.9","0","true"
"78","0.975","0","true"
"79","1","0","true"
"80","0.9125","0","true"
"81","0.9875","0","true"
"82","0.6625","0","true"
"83","1","0","true"
"84","0.9625","0","true"
"85","0.9625","0","true"
"86","0.95","0","true"
"87","0.9625","0","true"
"88","1","0","true"
"89","1","0","true"
"90","1","0","true"
"91","0.9625","0","true"
"92","1","0","true"
"93","0.9875","0","true"
"94","1","0","true"
"95","0.9875","0","true"
"96","1","0","true"
"97","0.9875","0","true"
"98","0.9875","0","true"
"99","1","0","true"
"100","1","0","true"
"101","1","0","true"
"102","1","0","true"
"103","0.9","0","true"
"104","1","0","true"
"105","0.9625","0","true"
"106","1","0","true"
"107","1","0","true"
"108","1","0","true"
"109","0.9625","0","true"
"110","0.9875","0","true"
"111","1","0","true"
"112","0.9","0","true"
"113","0.9625","0","true"
"114","0.925","0","true"
"115","0.7875","0","true"
"116","1","0","true"
"117","0.9","0","true"
"118","1","0","true"
"119","1","0","true"
"120","0.975","0","true"
"121","1","0","true"
"122","1","0","true"
"123","1","0","true"
"124","0.975","0","true"
"125","0.925","0","true"
"126","0.9625","0","true"
"127","0.5","0","true"
"128","1","0","true"
"129","1","0","true"
"130","1","0","true"
"131","1","0","true"
"132","1","0","true"
"133","1","0","true"
"134","0.9625","0","true"
"135","0.9875","0","true"
"136","0.725","0","true"
"137","1","0","true"
"138","0.9375","0","true"
"139","1","0","true"
"140","0.95","0","true"
"141","1","0","true"
"142","0.975","0","true"
"143","0.975","0","true"
"144","0.9875","0","true"
"145","0.7","0","true"
"146","0.7","0","true"
"147","1","0","true"
