"export-plot data (NetLogo 5.2.0)"
"MANET.nlogo"
"05/28/2015 13:36:31:841 +0200"

"MODEL SETTINGS"
"radius","max-degree","nodes-number","node-velocity","all-different","run-length","strategy","export-plots"
"15","25","90","5","true","2000","""Max-degree-kill""","true"

"""Degree distribution"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","25","0","90","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","1","1","0","11"

"""default"""
"x","y","color","pen down?"
"1","8","0","true"
"2","11","0","true"
"3","14","0","true"
"4","15","0","true"
"5","17","0","true"
"6","11","0","true"
"7","10","0","true"
"8","1","0","true"
"9","2","0","true"
"11","1","0","true"
