"export-plot data (NetLogo 5.2.0)"
"MANET.nlogo"
"05/28/2015 20:37:02:214 +0200"

"MODEL SETTINGS"
"radius","max-degree","nodes-number","node-velocity","all-different","run-length","strategy","export-plots"
"15","25","80","5","true","2000","""Most-distant-no-bridge-kill""","true"

"""Degree distribution"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","25","0","80","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","1","1","0","10"

"""default"""
"x","y","color","pen down?"
"1","6","0","true"
"2","9","0","true"
"3","12","0","true"
"4","16","0","true"
"5","14","0","true"
"6","12","0","true"
"7","5","0","true"
"8","4","0","true"
"9","1","0","true"
"10","1","0","true"
