"export-plot data (NetLogo 5.2.0)"
"MANET.nlogo"
"05/28/2015 13:04:29:638 +0200"

"MODEL SETTINGS"
"run-length","all-different","max-degree","node-velocity","strategy","export-plots","radius","nodes-number"
"2000","true","15","5","""Random-kill""","true","15","80"

"""Degree distribution"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","15","0","80","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","1","1","0","9"

"""default"""
"x","y","color","pen down?"
"0","1","0","true"
"1","9","0","true"
"2","17","0","true"
"3","14","0","true"
"4","11","0","true"
"5","8","0","true"
"6","11","0","true"
"7","2","0","true"
"8","6","0","true"
"9","1","0","true"
