"export-plot data (NetLogo 5.2.0)"
"MANET.nlogo"
"05/28/2015 13:31:07:828 +0200"

"MODEL SETTINGS"
"radius","max-degree","nodes-number","node-velocity","all-different","run-length","strategy","export-plots"
"15","25","80","5","true","2000","""Max-degree-kill""","true"

"""Edge Density"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","2190","0","1","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","2000"

"""default"""
"x","y","color","pen down?"
"0","0","0","true"
"1","0.169","0","true"
"2","0.17","0","true"
"3","0.181","0","true"
"4","0.18","0","true"
"5","0.176","0","true"
"6","0.185","0","true"
"7","0.179","0","true"
"8","0.176","0","true"
"9","0.173","0","true"
"10","0.176","0","true"
"11","0.183","0","true"
"12","0.173","0","true"
"13","0.168","0","true"
"14","0.177","0","true"
"15","0.182","0","true"
"16","0.181","0","true"
"17","0.171","0","true"
"18","0.171","0","true"
"19","0.165","0","true"
"20","0.163","0","true"
"21","0.158","0","true"
"22","0.167","0","true"
"23","0.171","0","true"
"24","0.175","0","true"
"25","0.16","0","true"
"26","0.164","0","true"
"27","0.165","0","true"
"28","0.172","0","true"
"29","0.164","0","true"
"30","0.174","0","true"
"31","0.167","0","true"
"32","0.167","0","true"
"33","0.175","0","true"
"34","0.173","0","true"
"35","0.175","0","true"
"36","0.17","0","true"
"37","0.17","0","true"
"38","0.179","0","true"
"39","0.173","0","true"
"40","0.167","0","true"
"41","0.164","0","true"
"42","0.17","0","true"
"43","0.167","0","true"
"44","0.166","0","true"
"45","0.175","0","true"
"46","0.167","0","true"
"47","0.16","0","true"
"48","0.165","0","true"
"49","0.174","0","true"
"50","0.173","0","true"
"51","0.177","0","true"
"52","0.179","0","true"
"53","0.176","0","true"
"54","0.183","0","true"
"55","0.174","0","true"
"56","0.19","0","true"
"57","0.192","0","true"
"58","0.19","0","true"
"59","0.193","0","true"
"60","0.191","0","true"
"61","0.192","0","true"
"62","0.182","0","true"
"63","0.18","0","true"
"64","0.183","0","true"
"65","0.174","0","true"
"66","0.185","0","true"
"67","0.178","0","true"
"68","0.167","0","true"
"69","0.167","0","true"
"70","0.179","0","true"
"71","0.175","0","true"
"72","0.182","0","true"
"73","0.18","0","true"
"74","0.18","0","true"
"75","0.179","0","true"
"76","0.181","0","true"
"77","0.176","0","true"
"78","0.167","0","true"
"79","0.168","0","true"
"80","0.179","0","true"
"81","0.178","0","true"
"82","0.183","0","true"
"83","0.181","0","true"
"84","0.186","0","true"
"85","0.176","0","true"
"86","0.176","0","true"
"87","0.175","0","true"
"88","0.177","0","true"
"89","0.178","0","true"
"90","0.18","0","true"
"91","0.177","0","true"
"92","0.189","0","true"
"93","0.191","0","true"
"94","0.183","0","true"
"95","0.182","0","true"
"96","0.179","0","true"
"97","0.179","0","true"
"98","0.188","0","true"
"99","0.189","0","true"
"100","0.187","0","true"
"101","0.186","0","true"
"102","0.172","0","true"
"103","0.17","0","true"
"104","0.171","0","true"
"105","0.168","0","true"
"106","0.172","0","true"
"107","0.166","0","true"
"108","0.167","0","true"
"109","0.169","0","true"
"110","0.174","0","true"
"111","0.165","0","true"
"112","0.183","0","true"
"113","0.177","0","true"
"114","0.164","0","true"
"115","0.173","0","true"
"116","0.16","0","true"
"117","0.164","0","true"
"118","0.165","0","true"
"119","0.154","0","true"
"120","0.158","0","true"
"121","0.154","0","true"
"122","0.168","0","true"
"123","0.16","0","true"
"124","0.15","0","true"
"125","0.161","0","true"
"126","0.163","0","true"
"127","0.16","0","true"
"128","0.161","0","true"
"129","0.17","0","true"
"130","0.159","0","true"
"131","0.168","0","true"
"132","0.172","0","true"
"133","0.171","0","true"
"134","0.169","0","true"
"135","0.17","0","true"
"136","0.17","0","true"
"137","0.158","0","true"
"138","0.162","0","true"
"139","0.162","0","true"
"140","0.156","0","true"
"141","0.158","0","true"
"142","0.167","0","true"
"143","0.159","0","true"
"144","0.163","0","true"
"145","0.175","0","true"
"146","0.172","0","true"
"147","0.18","0","true"
"148","0.171","0","true"
"149","0.176","0","true"
"150","0.176","0","true"
"151","0.169","0","true"
"152","0.163","0","true"
"153","0.164","0","true"
"154","0.164","0","true"
"155","0.156","0","true"
"156","0.164","0","true"
"157","0.17","0","true"
"158","0.169","0","true"
"159","0.163","0","true"
"160","0.181","0","true"
"161","0.174","0","true"
"162","0.159","0","true"
"163","0.161","0","true"
"164","0.155","0","true"
"165","0.166","0","true"
"166","0.161","0","true"
"167","0.172","0","true"
"168","0.169","0","true"
"169","0.18","0","true"
"170","0.172","0","true"
"171","0.155","0","true"
"172","0.161","0","true"
"173","0.165","0","true"
"174","0.165","0","true"
"175","0.17","0","true"
"176","0.167","0","true"
"177","0.168","0","true"
"178","0.168","0","true"
"179","0.178","0","true"
"180","0.181","0","true"
"181","0.174","0","true"
"182","0.173","0","true"
"183","0.179","0","true"
"184","0.181","0","true"
"185","0.186","0","true"
"186","0.191","0","true"
"187","0.18","0","true"
"188","0.184","0","true"
"189","0.183","0","true"
"190","0.19","0","true"
"191","0.18","0","true"
"192","0.186","0","true"
"193","0.185","0","true"
"194","0.177","0","true"
"195","0.18","0","true"
"196","0.182","0","true"
"197","0.177","0","true"
"198","0.178","0","true"
"199","0.175","0","true"
"200","0.17","0","true"
"201","0.176","0","true"
"202","0.173","0","true"
"203","0.191","0","true"
"204","0.184","0","true"
"205","0.192","0","true"
"206","0.194","0","true"
"207","0.202","0","true"
"208","0.19","0","true"
"209","0.19","0","true"
"210","0.19","0","true"
"211","0.185","0","true"
"212","0.188","0","true"
"213","0.177","0","true"
"214","0.18","0","true"
"215","0.183","0","true"
"216","0.182","0","true"
"217","0.185","0","true"
"218","0.185","0","true"
"219","0.186","0","true"
"220","0.188","0","true"
"221","0.194","0","true"
"222","0.174","0","true"
"223","0.185","0","true"
"224","0.181","0","true"
"225","0.182","0","true"
"226","0.186","0","true"
"227","0.185","0","true"
"228","0.191","0","true"
"229","0.183","0","true"
"230","0.189","0","true"
"231","0.188","0","true"
"232","0.188","0","true"
"233","0.189","0","true"
"234","0.183","0","true"
"235","0.179","0","true"
"236","0.184","0","true"
"237","0.181","0","true"
"238","0.178","0","true"
"239","0.171","0","true"
"240","0.176","0","true"
"241","0.185","0","true"
"242","0.185","0","true"
"243","0.172","0","true"
"244","0.178","0","true"
"245","0.177","0","true"
"246","0.187","0","true"
"247","0.176","0","true"
"248","0.185","0","true"
"249","0.189","0","true"
"250","0.19","0","true"
"251","0.189","0","true"
"252","0.186","0","true"
"253","0.198","0","true"
"254","0.196","0","true"
"255","0.184","0","true"
"256","0.192","0","true"
"257","0.202","0","true"
"258","0.193","0","true"
"259","0.191","0","true"
"260","0.195","0","true"
"261","0.184","0","true"
"262","0.185","0","true"
"263","0.19","0","true"
"264","0.191","0","true"
"265","0.188","0","true"
"266","0.187","0","true"
"267","0.17","0","true"
"268","0.183","0","true"
"269","0.172","0","true"
"270","0.172","0","true"
"271","0.175","0","true"
"272","0.176","0","true"
"273","0.171","0","true"
"274","0.178","0","true"
"275","0.174","0","true"
"276","0.165","0","true"
"277","0.184","0","true"
"278","0.184","0","true"
"279","0.187","0","true"
"280","0.178","0","true"
"281","0.169","0","true"
"282","0.171","0","true"
"283","0.165","0","true"
"284","0.169","0","true"
"285","0.176","0","true"
"286","0.163","0","true"
"287","0.166","0","true"
"288","0.176","0","true"
"289","0.17","0","true"
"290","0.182","0","true"
"291","0.168","0","true"
"292","0.168","0","true"
"293","0.167","0","true"
"294","0.156","0","true"
"295","0.174","0","true"
"296","0.178","0","true"
"297","0.173","0","true"
"298","0.179","0","true"
"299","0.177","0","true"
"300","0.174","0","true"
"301","0.168","0","true"
"302","0.168","0","true"
"303","0.182","0","true"
"304","0.186","0","true"
"305","0.186","0","true"
"306","0.181","0","true"
"307","0.179","0","true"
"308","0.176","0","true"
"309","0.189","0","true"
"310","0.177","0","true"
"311","0.189","0","true"
"312","0.185","0","true"
"313","0.191","0","true"
"314","0.182","0","true"
"315","0.173","0","true"
"316","0.18","0","true"
"317","0.177","0","true"
"318","0.165","0","true"
"319","0.171","0","true"
"320","0.179","0","true"
"321","0.176","0","true"
"322","0.181","0","true"
"323","0.172","0","true"
"324","0.174","0","true"
"325","0.175","0","true"
"326","0.187","0","true"
"327","0.186","0","true"
"328","0.184","0","true"
"329","0.192","0","true"
"330","0.188","0","true"
"331","0.188","0","true"
"332","0.187","0","true"
"333","0.179","0","true"
"334","0.18","0","true"
"335","0.182","0","true"
"336","0.183","0","true"
"337","0.182","0","true"
"338","0.181","0","true"
"339","0.197","0","true"
