"export-plot data (NetLogo 5.2.0)"
"MANET.nlogo"
"05/28/2015 13:34:30:886 +0200"

"MODEL SETTINGS"
"radius","max-degree","nodes-number","node-velocity","all-different","run-length","strategy","export-plots"
"15","15","90","5","true","2000","""Max-degree-kill""","true"

"""Degree distribution"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","15","0","90","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","1","1","0","9"

"""default"""
"x","y","color","pen down?"
"0","3","0","true"
"1","4","0","true"
"2","5","0","true"
"3","15","0","true"
"4","21","0","true"
"5","20","0","true"
"6","10","0","true"
"7","6","0","true"
"8","5","0","true"
"9","1","0","true"
