"export-plot data (NetLogo 5.2.0)"
"MANET.nlogo"
"05/28/2015 13:05:50:539 +0200"

"MODEL SETTINGS"
"radius","max-degree","nodes-number","node-velocity","all-different","run-length","strategy","export-plots"
"15","25","80","5","true","2000","""Random-kill""","true"

"""Degree distribution"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","25","0","80","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","1","1","0","11"

"""default"""
"x","y","color","pen down?"
"0","3","0","true"
"1","9","0","true"
"2","11","0","true"
"3","12","0","true"
"4","5","0","true"
"5","19","0","true"
"6","4","0","true"
"7","4","0","true"
"8","6","0","true"
"9","5","0","true"
"10","1","0","true"
"11","1","0","true"
